task_description,assigned_to,task_type,created_date,due_date,estimated_hours,completed,priority
Fix backend bug,Hamza,Documentation,2025-06-21,2025-06-29,9,False,Low
Refactor navbar,Zara,Bug,2025-06-22,2025-06-30,4,False,High
Design homepage,Omar,Testing,2025-06-18,2025-06-26,1,False,High
Fix backend bug,Sara,Feature,2025-06-25,2025-07-02,3,False,High
Implement search,Sara,Documentation,2025-06-22,2025-06-27,3,False,Medium
Design homepage,Ali,Bug,2025-06-21,2025-06-22,9,True,Medium
Clean up codebase,Ayesha,Testing,2025-06-26,2025-07-01,3,True,Medium
Update dependencies,Zara,Documentation,2025-06-24,2025-06-26,6,False,Medium
Implement search,Sara,Bug,2025-06-22,2025-06-30,8,False,High
Research OAuth,Ali,Deployment,2025-06-21,2025-06-27,8,False,Medium
Design homepage,Ayesha,Bug,2025-06-25,2025-07-04,4,True,High
Write API docs,Omar,Deployment,2025-06-24,2025-06-30,2,False,Medium
Refactor navbar,Ali,Documentation,2025-06-26,2025-06-27,1,False,Medium
Write test cases,Sara,Bug,2025-06-23,2025-06-25,2,False,High
Write test cases,Hamza,Documentation,2025-06-24,2025-07-03,12,True,High
Clean up codebase,Zara,Documentation,2025-06-17,2025-06-23,7,True,High
Update dependencies,Ayesha,Documentation,2025-06-17,2025-06-26,6,True,High
Research OAuth,Ali,Refactor,2025-06-22,2025-06-27,4,True,High
Implement search,Hamza,Bug,2025-06-24,2025-07-01,6,False,High
Update dependencies,Ayesha,Feature,2025-06-17,2025-06-27,2,False,Medium
Write test cases,Sara,Bug,2025-06-23,2025-06-27,6,True,Medium
Research OAuth,Omar,Testing,2025-06-23,2025-06-28,4,False,Low
Fix backend bug,Hamza,Testing,2025-06-21,2025-07-01,5,False,Medium
Write test cases,Sara,Documentation,2025-06-27,2025-06-28,9,True,High
Write test cases,Ayesha,Refactor,2025-06-19,2025-06-22,10,False,High
Clean up codebase,Zara,Bug,2025-06-24,2025-06-29,6,False,Medium
Write test cases,Sara,Documentation,2025-06-19,2025-06-27,12,True,Medium
Research OAuth,Ayesha,Deployment,2025-06-20,2025-06-25,8,True,High
Refactor navbar,Ayesha,Testing,2025-06-24,2025-06-28,5,False,Low
Research OAuth,Omar,Feature,2025-06-25,2025-07-05,11,True,Medium
Write API docs,Sara,Refactor,2025-06-24,2025-07-01,6,False,Low
Fix backend bug,Ayesha,Feature,2025-06-22,2025-07-02,3,False,High
Fix backend bug,Ali,Refactor,2025-06-27,2025-07-07,5,True,High
Deploy app to server,Hamza,Documentation,2025-06-24,2025-07-04,5,True,Low
Write API docs,Omar,Bug,2025-06-17,2025-06-26,4,True,High
Deploy app to server,Omar,Refactor,2025-06-24,2025-06-29,2,True,High
Deploy app to server,Hamza,Deployment,2025-06-20,2025-06-23,1,True,High
Design homepage,Hamza,Testing,2025-06-17,2025-06-23,10,False,High
Clean up codebase,Ali,Feature,2025-06-18,2025-06-28,7,True,Low
Update dependencies,Ayesha,Documentation,2025-06-23,2025-06-29,9,True,Low
Write test cases,Omar,Feature,2025-06-26,2025-07-05,2,True,Low
Research OAuth,Sara,Documentation,2025-06-24,2025-06-26,1,True,High
Write API docs,Zara,Documentation,2025-06-21,2025-06-28,7,True,Medium
Test payment flow,Ayesha,Feature,2025-06-23,2025-06-27,3,False,Medium
Design homepage,Sara,Testing,2025-06-22,2025-06-30,2,True,Low
Clean up codebase,Omar,Documentation,2025-06-22,2025-07-02,4,True,High
Implement search,Zara,Testing,2025-06-21,2025-06-26,2,True,Low
Clean up codebase,Zara,Feature,2025-06-23,2025-06-27,9,True,Low
Update dependencies,Ayesha,Testing,2025-06-27,2025-07-06,7,False,High
Refactor navbar,Ali,Feature,2025-06-20,2025-06-21,2,True,High
Write test cases,Ayesha,Bug,2025-06-21,2025-06-22,11,True,High
Deploy app to server,Ali,Documentation,2025-06-27,2025-07-03,8,False,Medium
Clean up codebase,Ali,Documentation,2025-06-26,2025-06-28,2,True,Low
Design homepage,Sara,Testing,2025-06-23,2025-06-27,2,False,High
Refactor navbar,Omar,Deployment,2025-06-19,2025-06-20,11,True,Low
Fix backend bug,Ali,Feature,2025-06-26,2025-06-29,7,False,Medium
Optimize database,Zara,Testing,2025-06-18,2025-06-26,6,False,High
Fix backend bug,Sara,Documentation,2025-06-19,2025-06-26,12,True,High
Deploy app to server,Ayesha,Feature,2025-06-21,2025-06-29,5,True,High
Test payment flow,Hamza,Refactor,2025-06-20,2025-06-27,4,True,Medium
Clean up codebase,Sara,Feature,2025-06-25,2025-06-28,2,True,High
Test payment flow,Zara,Feature,2025-06-27,2025-07-04,3,False,High
Design homepage,Hamza,Refactor,2025-06-21,2025-06-28,10,True,High
Update dependencies,Ayesha,Documentation,2025-06-17,2025-06-20,5,False,High
Research OAuth,Hamza,Feature,2025-06-19,2025-06-27,9,True,Medium
Design homepage,Ayesha,Bug,2025-06-27,2025-07-01,4,False,High
Design homepage,Ali,Refactor,2025-06-26,2025-06-27,10,False,High
Write API docs,Ayesha,Documentation,2025-06-22,2025-06-29,11,True,Medium
Test payment flow,Zara,Testing,2025-06-21,2025-06-25,12,False,High
Update dependencies,Hamza,Documentation,2025-06-21,2025-06-24,4,True,Medium
Write test cases,Hamza,Documentation,2025-06-25,2025-06-26,2,False,Low
Deploy app to server,Zara,Documentation,2025-06-18,2025-06-20,6,True,Low
Implement search,Omar,Feature,2025-06-24,2025-06-28,2,False,High
Optimize database,Sara,Feature,2025-06-26,2025-07-03,10,True,Medium
Update dependencies,Ali,Bug,2025-06-24,2025-06-29,7,False,High
Optimize database,Sara,Deployment,2025-06-24,2025-06-26,9,False,Medium
Design homepage,Ayesha,Deployment,2025-06-25,2025-06-27,9,False,High
Write API docs,Zara,Bug,2025-06-24,2025-06-26,11,True,High
Update dependencies,Ali,Documentation,2025-06-26,2025-07-02,6,True,Medium
Write API docs,Ayesha,Feature,2025-06-27,2025-07-02,5,True,Medium
Write test cases,Omar,Documentation,2025-06-18,2025-06-25,5,True,Medium
Write test cases,Ali,Feature,2025-06-27,2025-07-06,5,False,Low
Fix backend bug,Hamza,Documentation,2025-06-20,2025-06-26,11,False,High
Deploy app to server,Zara,Documentation,2025-06-22,2025-06-23,11,False,High
Refactor navbar,Ayesha,Testing,2025-06-26,2025-07-05,5,True,Medium
Test payment flow,Omar,Deployment,2025-06-26,2025-06-28,2,False,Low
Write API docs,Ali,Feature,2025-06-20,2025-06-23,2,True,High
Deploy app to server,Omar,Documentation,2025-06-21,2025-06-25,7,False,High
Update dependencies,Ayesha,Feature,2025-06-18,2025-06-22,3,False,Low
Design homepage,Omar,Documentation,2025-06-26,2025-06-29,12,False,High
Clean up codebase,Ayesha,Bug,2025-06-17,2025-06-23,6,False,Medium
Write test cases,Ali,Documentation,2025-06-23,2025-06-28,2,True,Medium
Write API docs,Omar,Deployment,2025-06-24,2025-07-02,4,True,High
Update dependencies,Ali,Feature,2025-06-24,2025-07-01,1,False,High
Implement search,Hamza,Deployment,2025-06-23,2025-06-27,12,True,Medium
Refactor navbar,Ayesha,Testing,2025-06-18,2025-06-24,6,True,High
Test payment flow,Sara,Testing,2025-06-20,2025-06-22,2,False,High
Fix backend bug,Hamza,Feature,2025-06-23,2025-07-03,3,True,High
Fix backend bug,Sara,Bug,2025-06-23,2025-07-03,2,False,Low
Refactor navbar,Hamza,Feature,2025-06-19,2025-06-29,9,True,High
Design homepage,Zara,Feature,2025-06-17,2025-06-22,11,False,High
Test payment flow,Sara,Documentation,2025-06-23,2025-06-27,4,True,High
Test payment flow,Zara,Documentation,2025-06-23,2025-06-25,11,False,High
Design homepage,Sara,Bug,2025-06-17,2025-06-27,1,False,Medium
Write test cases,Sara,Documentation,2025-06-25,2025-06-30,9,True,Low
Write test cases,Zara,Documentation,2025-06-17,2025-06-22,6,True,Low
Optimize database,Omar,Bug,2025-06-23,2025-06-25,10,False,High
Write API docs,Sara,Testing,2025-06-22,2025-06-29,4,True,Low
Implement search,Omar,Refactor,2025-06-20,2025-06-27,10,True,High
Refactor navbar,Sara,Bug,2025-06-26,2025-07-02,11,False,Low
Update dependencies,Ali,Refactor,2025-06-26,2025-06-27,11,True,Medium
Update dependencies,Omar,Bug,2025-06-26,2025-07-06,6,False,High
Optimize database,Ayesha,Feature,2025-06-27,2025-06-28,7,False,High
Optimize database,Zara,Testing,2025-06-23,2025-06-25,11,False,Low
Deploy app to server,Ayesha,Testing,2025-06-26,2025-06-29,10,True,Medium
Write test cases,Sara,Bug,2025-06-21,2025-06-27,7,True,Low
Clean up codebase,Hamza,Deployment,2025-06-25,2025-07-05,11,False,Low
Clean up codebase,Ali,Documentation,2025-06-20,2025-06-21,9,True,Medium
Update dependencies,Zara,Feature,2025-06-23,2025-06-27,12,True,High
Test payment flow,Omar,Deployment,2025-06-18,2025-06-19,6,False,High
Update dependencies,Sara,Feature,2025-06-19,2025-06-27,4,False,Medium
Fix backend bug,Zara,Bug,2025-06-20,2025-06-23,1,True,High
Refactor navbar,Ali,Documentation,2025-06-25,2025-06-27,10,True,High
Test payment flow,Zara,Bug,2025-06-22,2025-07-01,12,False,High
Deploy app to server,Hamza,Refactor,2025-06-18,2025-06-27,4,False,Medium
Fix backend bug,Hamza,Bug,2025-06-24,2025-06-30,3,True,High
Implement search,Zara,Bug,2025-06-24,2025-06-27,9,True,High
Design homepage,Sara,Deployment,2025-06-24,2025-06-30,12,True,High
Research OAuth,Sara,Deployment,2025-06-21,2025-06-26,6,False,High
Test payment flow,Hamza,Documentation,2025-06-21,2025-07-01,1,True,High
Clean up codebase,Zara,Feature,2025-06-27,2025-06-30,4,False,High
Clean up codebase,Zara,Testing,2025-06-22,2025-06-24,7,True,Medium
Design homepage,Hamza,Deployment,2025-06-25,2025-07-03,12,True,High
Clean up codebase,Ali,Testing,2025-06-20,2025-06-28,7,False,Low
Design homepage,Hamza,Feature,2025-06-22,2025-06-28,10,True,High
Fix backend bug,Zara,Documentation,2025-06-24,2025-07-02,9,False,High
Clean up codebase,Hamza,Testing,2025-06-21,2025-06-24,10,True,Medium
Write API docs,Hamza,Feature,2025-06-24,2025-06-27,11,False,Medium
Implement search,Omar,Bug,2025-06-22,2025-07-02,3,False,Low
Write API docs,Sara,Feature,2025-06-25,2025-06-26,12,True,Medium
Write API docs,Sara,Feature,2025-06-26,2025-07-03,7,False,High
Refactor navbar,Zara,Bug,2025-06-25,2025-07-05,7,False,Medium
Clean up codebase,Sara,Documentation,2025-06-17,2025-06-24,1,True,High
Optimize database,Sara,Feature,2025-06-24,2025-07-01,12,True,High
Fix backend bug,Sara,Refactor,2025-06-25,2025-07-05,1,True,Low
Test payment flow,Omar,Refactor,2025-06-23,2025-06-30,12,True,Medium
Write API docs,Zara,Feature,2025-06-26,2025-07-06,11,True,High
Deploy app to server,Ali,Documentation,2025-06-17,2025-06-21,10,True,Medium
Update dependencies,Hamza,Deployment,2025-06-24,2025-06-26,4,False,High
Implement search,Zara,Feature,2025-06-23,2025-06-28,2,True,Low
Deploy app to server,Zara,Feature,2025-06-25,2025-06-30,10,False,High
Deploy app to server,Ayesha,Documentation,2025-06-22,2025-06-26,4,False,High
Deploy app to server,Zara,Feature,2025-06-26,2025-07-04,6,False,Medium
Update dependencies,Sara,Feature,2025-06-22,2025-06-30,2,True,Medium
Fix backend bug,Zara,Testing,2025-06-20,2025-06-23,7,True,High
Implement search,Sara,Testing,2025-06-18,2025-06-25,4,True,Low
Test payment flow,Ayesha,Documentation,2025-06-20,2025-06-21,3,True,Low
Optimize database,Ali,Bug,2025-06-24,2025-06-27,2,False,High
Research OAuth,Omar,Testing,2025-06-22,2025-06-28,6,False,Medium
Write test cases,Zara,Deployment,2025-06-21,2025-06-30,3,True,High
Research OAuth,Hamza,Refactor,2025-06-27,2025-07-04,1,True,Low
Design homepage,Zara,Testing,2025-06-25,2025-07-05,6,False,High
Research OAuth,Ayesha,Refactor,2025-06-25,2025-06-29,2,False,Medium
Optimize database,Zara,Documentation,2025-06-24,2025-07-02,6,False,Low
Write API docs,Omar,Feature,2025-06-26,2025-07-04,11,False,High
Update dependencies,Zara,Bug,2025-06-20,2025-06-24,11,False,High
Clean up codebase,Ayesha,Refactor,2025-06-17,2025-06-23,8,False,High
Design homepage,Omar,Feature,2025-06-21,2025-07-01,1,False,Medium
Write test cases,Omar,Refactor,2025-06-27,2025-06-29,5,True,Medium
Clean up codebase,Omar,Feature,2025-06-17,2025-06-20,4,False,High
Test payment flow,Hamza,Documentation,2025-06-26,2025-06-30,3,True,Medium
Design homepage,Zara,Refactor,2025-06-27,2025-06-28,1,False,High
Refactor navbar,Omar,Documentation,2025-06-20,2025-06-24,7,True,High
Deploy app to server,Sara,Refactor,2025-06-24,2025-06-27,12,False,High
Optimize database,Sara,Documentation,2025-06-19,2025-06-28,7,True,Medium
Update dependencies,Omar,Documentation,2025-06-24,2025-06-28,10,True,High
Write test cases,Sara,Feature,2025-06-24,2025-07-04,10,False,High
Write test cases,Ali,Deployment,2025-06-20,2025-06-21,4,False,Medium
Implement search,Sara,Deployment,2025-06-25,2025-06-26,5,False,Medium
Write API docs,Zara,Deployment,2025-06-21,2025-06-29,2,True,High
Refactor navbar,Hamza,Bug,2025-06-21,2025-06-25,9,True,Medium
Test payment flow,Ayesha,Testing,2025-06-27,2025-06-29,11,False,High
Design homepage,Zara,Deployment,2025-06-23,2025-07-02,1,False,Low
Clean up codebase,Zara,Bug,2025-06-24,2025-07-04,9,True,High
Deploy app to server,Zara,Feature,2025-06-24,2025-06-29,10,False,Medium
Deploy app to server,Hamza,Refactor,2025-06-24,2025-06-25,6,True,High
Fix backend bug,Ali,Deployment,2025-06-20,2025-06-24,6,True,Medium
Research OAuth,Sara,Testing,2025-06-27,2025-07-06,5,False,Medium
Write API docs,Zara,Testing,2025-06-21,2025-06-26,12,True,High
Write API docs,Ayesha,Testing,2025-06-19,2025-06-26,11,False,High
Write test cases,Omar,Testing,2025-06-17,2025-06-25,5,False,High
Refactor navbar,Hamza,Feature,2025-06-18,2025-06-26,7,True,High
Implement search,Ayesha,Refactor,2025-06-26,2025-06-30,1,False,Low
Research OAuth,Omar,Bug,2025-06-19,2025-06-25,7,True,High
Implement search,Hamza,Deployment,2025-06-21,2025-06-27,2,False,Medium
Refactor navbar,Ayesha,Documentation,2025-06-19,2025-06-27,3,False,Low
Design homepage,Sara,Testing,2025-06-19,2025-06-28,3,False,Medium
Design homepage,Sara,Feature,2025-06-20,2025-06-30,8,False,Low
Implement search,Zara,Deployment,2025-06-21,2025-06-30,8,False,Low
Write test cases,Zara,Deployment,2025-06-21,2025-07-01,2,False,High
Refactor navbar,Hamza,Refactor,2025-06-23,2025-07-01,7,False,High
Update dependencies,Sara,Bug,2025-06-26,2025-06-29,2,True,High
Write API docs,Hamza,Testing,2025-06-26,2025-07-04,10,True,Medium
Refactor navbar,Zara,Testing,2025-06-23,2025-06-30,10,False,Medium
Clean up codebase,Ayesha,Deployment,2025-06-21,2025-06-28,11,False,High
Write test cases,Hamza,Bug,2025-06-23,2025-07-01,5,False,Low
Design homepage,Omar,Feature,2025-06-20,2025-06-21,2,True,Low
Refactor navbar,Sara,Bug,2025-06-17,2025-06-24,7,False,Medium
Test payment flow,Zara,Bug,2025-06-25,2025-07-01,8,True,Medium
Test payment flow,Ali,Feature,2025-06-21,2025-07-01,8,True,High
Update dependencies,Omar,Bug,2025-06-21,2025-06-25,8,False,High
Design homepage,Sara,Documentation,2025-06-18,2025-06-22,8,False,High
Fix backend bug,Zara,Refactor,2025-06-24,2025-06-30,2,False,Low
Clean up codebase,Omar,Documentation,2025-06-27,2025-07-05,1,False,Medium
Fix backend bug,Omar,Refactor,2025-06-19,2025-06-27,3,False,High
Fix backend bug,Ali,Deployment,2025-06-25,2025-07-05,1,True,High
Design homepage,Sara,Bug,2025-06-26,2025-07-03,5,True,Medium
Clean up codebase,Sara,Documentation,2025-06-25,2025-06-30,9,False,High
Write test cases,Omar,Testing,2025-06-19,2025-06-22,2,False,Low
Clean up codebase,Ayesha,Refactor,2025-06-24,2025-07-02,8,True,Medium
Refactor navbar,Ali,Testing,2025-06-27,2025-07-01,7,False,High
Research OAuth,Omar,Testing,2025-06-17,2025-06-20,10,True,High
Optimize database,Zara,Bug,2025-06-25,2025-06-26,11,False,High
Fix backend bug,Hamza,Deployment,2025-06-25,2025-07-05,7,False,Medium
Research OAuth,Ayesha,Feature,2025-06-22,2025-06-24,4,False,High
Clean up codebase,Omar,Deployment,2025-06-22,2025-06-27,10,True,Low
Refactor navbar,Ali,Testing,2025-06-24,2025-07-02,4,True,Medium
Fix backend bug,Ayesha,Documentation,2025-06-24,2025-07-01,10,False,High
Refactor navbar,Ayesha,Deployment,2025-06-25,2025-06-29,1,False,High
Fix backend bug,Ali,Testing,2025-06-19,2025-06-28,10,True,Low
Refactor navbar,Sara,Feature,2025-06-23,2025-06-26,11,False,Low
Update dependencies,Hamza,Documentation,2025-06-20,2025-06-25,11,True,High
Implement search,Ali,Feature,2025-06-23,2025-06-26,8,True,High
Clean up codebase,Ayesha,Deployment,2025-06-20,2025-06-26,10,True,High
Deploy app to server,Ayesha,Feature,2025-06-17,2025-06-21,10,True,Medium
Design homepage,Ayesha,Feature,2025-06-25,2025-06-29,11,False,High
Write API docs,Zara,Bug,2025-06-23,2025-06-28,1,False,Low
Implement search,Omar,Feature,2025-06-18,2025-06-26,8,False,Medium
Deploy app to server,Ali,Deployment,2025-06-23,2025-07-03,6,False,Medium
Implement search,Ayesha,Refactor,2025-06-27,2025-07-03,12,False,Low
Implement search,Sara,Refactor,2025-06-22,2025-06-30,9,True,High
Fix backend bug,Sara,Testing,2025-06-20,2025-06-28,5,False,High
Deploy app to server,Sara,Testing,2025-06-27,2025-06-29,12,True,Medium
Write test cases,Zara,Refactor,2025-06-19,2025-06-28,7,False,Medium
Refactor navbar,Hamza,Documentation,2025-06-24,2025-07-04,6,False,High
Deploy app to server,Omar,Feature,2025-06-26,2025-07-05,3,True,High
Write API docs,Zara,Documentation,2025-06-22,2025-06-30,9,False,Medium
Implement search,Omar,Feature,2025-06-26,2025-07-05,11,False,High
Design homepage,Zara,Testing,2025-06-21,2025-07-01,4,True,High
